12:13:05.825 -> sensor = 4	 output = 0
12:13:05.860 -> sensor = 1	 output = 0
12:13:05.894 -> sensor = 1	 output = 0
12:13:05.894 -> sensor = 0	 output = 0
12:13:05.928 -> sensor = 2	 output = 0
12:13:05.962 -> sensor = 4	 output = 0
12:13:05.996 -> sensor = 1	 output = 0
12:13:05.996 -> sensor = 1	 output = 0
12:13:06.031 -> sensor = 1	 output = 0
12:13:06.065 -> sensor = 0	 output = 0
sensor = 3	 output = 0
12:13:06.099 -> sensor = 4	 output = 0
12:13:06.133 -> sensor = 1	 output = 0
12:13:06.167 -> sensor = 1	 output = 0
12:13:06.201 -> sensor = 0	 output = 0
12:13:06.201 -> sensor = 3	 output = 0
12:13:06.235 -> sensor = 4	 output = 0
12:13:06.269 -> sensor = 4	 output = 0
12:13:06.269 -> sensor = 1	 output = 0
12:13:06.304 -> sensor = 0	 output = 0
12:13:06.338 -> sensor = 0	 output = 0
12:13:06.371 -> sensor = 3	 output = 0
12:13:06.371 -> sensor = 4	 output = 0
12:13:06.405 -> sensor = 1	 output = 0
12:13:06.439 -> sensor = 1	 output = 0
12:13:06.474 -> sensor = 0	 output = 0
12:13:06.474 -> sensor = 3	 output = 0
12:13:06.508 -> sensor = 4	 output = 0
12:13:06.548 -> sensor = 3	 output = 0
12:13:06.548 -> sensor = 1	 output = 0
12:13:06.581 -> sensor = 0	 output = 0
12:13:06.615 -> sensor = 0	 output = 0
12:13:06.649 -> sensor = 3	 output = 0
12:13:06.649 -> sensor = 4	 output = 0
12:13:06.683 -> sensor = 1	 output = 0
12:13:06.717 -> sensor = 1	 output = 0
12:13:06.717 -> sensor = 0	 output = 0
12:13:06.750 -> sensor = 2	 output = 0
12:13:06.785 -> sensor = 4	 output = 0
12:13:06.819 -> sensor = 4	 output = 0
12:13:06.819 -> sensor = 1	 output = 0
12:13:06.854 -> sensor = 1	 output = 0
12:13:06.888 -> sensor = 0	 output = 0
12:13:06.922 -> sensor = 3	 output = 0
12:13:06.922 -> sensor = 4	 output = 0
12:13:06.956 -> sensor = 1	 output = 0
12:13:06.990 -> sensor = 1	 output = 0
12:13:07.024 -> sensor = 1	 output = 0
12:13:07.024 -> sensor = 0	 output = 0
12:13:07.058 -> sensor = 3	 output = 0
12:13:07.093 -> sensor = 4	 output = 0
12:13:07.093 -> sensor = 1	 output = 0
12:13:07.128 -> sensor = 1	 output = 0
12:13:07.163 -> sensor = 0	 output = 0
12:13:07.197 -> sensor = 2	 output = 0
12:13:07.197 -> sensor = 4	 output = 0
12:13:07.231 -> sensor = 1	 output = 0
12:13:07.265 -> sensor = 1	 output = 0
12:13:07.265 -> sensor = 1	 output = 0
12:13:07.299 -> sensor = 0	 output = 0
12:13:07.333 -> sensor = 3	 output = 0
12:13:07.368 -> sensor = 4	 output = 0
12:13:07.368 -> sensor = 1	 output = 0
12:13:07.402 -> sensor = 1	 output = 0
12:13:07.437 -> sensor = 0	 output = 0
12:13:07.471 -> sensor = 3	 output = 0
12:13:07.471 -> sensor = 3	 output = 0
12:13:07.505 -> sensor = 1	 output = 0
12:13:07.539 -> sensor = 1	 output = 0
12:13:07.573 -> sensor = 1	 output = 0
12:13:07.573 -> sensor = 0	 output = 0
12:13:07.607 -> sensor = 4	 output = 0
12:13:07.641 -> sensor = 4	 output = 0
sensor = 1	 output = 0
12:13:07.675 -> sensor = 0	 output = 0
12:13:07.710 -> sensor = 2	 output = 0
12:13:07.744 -> sensor = 4	 output = 0
12:13:07.744 -> sensor = 4	 output = 0
12:13:07.778 -> sensor = 0	 output = 0
12:13:07.813 -> sensor = 4	 output = 0
12:13:07.847 -> sensor = 4	 output = 0
12:13:07.847 -> sensor = 12	 output = 2
12:13:07.881 -> sensor = 1	 output = 0
12:13:07.915 -> sensor = 4	 output = 0
12:13:07.949 -> sensor = 10	 output = 2
12:13:07.949 -> sensor = 1	 output = 0
12:13:07.983 -> sensor = 2	 output = 0
12:13:08.017 -> sensor = 4	 output = 0
sensor = 4	 output = 0
12:13:08.051 -> sensor = 1	 output = 0
12:13:08.086 -> sensor = 4	 output = 0
12:13:08.120 -> sensor = 11	 output = 2
12:13:08.120 -> sensor = 1	 output = 0
12:13:08.154 -> sensor = 7	 output = 1
12:13:08.188 -> sensor = 2	 output = 0
12:13:08.223 -> sensor = 1	 output = 0
12:13:08.223 -> sensor = 4	 output = 0
12:13:08.257 -> sensor = 2	 output = 0
12:13:08.292 -> sensor = 2	 output = 0
12:13:08.326 -> sensor = 4	 output = 0
12:13:08.326 -> sensor = 4	 output = 0
12:13:08.360 -> sensor = 0	 output = 0
12:13:08.395 -> sensor = 3	 output = 0
12:13:08.395 -> sensor = 4	 output = 0
12:13:08.429 -> sensor = 7	 output = 1
12:13:08.464 -> sensor = 1	 output = 0